image_name,colour_rank,hex,red,green,blue,lab_l,lab_a,lab_b
sea_018.jpg,5,#88B3E0,136,179,224,71.44,-2.99,-27.44
sea_018.jpg,6,#2D4953,45,73,83,29.16,-7.4,-9.29
sea_018.jpg,7,#305171,48,81,113,33.19,-1.55,-22.3
sea_018.jpg,8,#5E81B0,94,129,176,53.28,0.65,-28.54
sea_018.jpg,9,#1E334B,30,51,75,20.62,-0.06,-17.48
sea_018.jpg,10,#607A8D,96,122,141,50.02,-4.61,-13.31
sea_019.jpg,1,#166389,22,99,137,39.5,-8.34,-27.51
sea_019.jpg,2,#246F93,36,111,147,43.99,-10.05,-26.15
sea_019.jpg,3,#A0B8CD,160,184,205,73.81,-3.71,-13.28
sea_019.jpg,4,#95B2CE,149,178,206,71.24,-3.48,-17.5
sea_019.jpg,5,#88AACC,136,170,204,68.34,-3.3,-21.16
sea_019.jpg,6,#397B9B,57,123,155,48.68,-10.6,-23.69
sea_019.jpg,7,#045479,4,84,121,33.5,-6.96,-26.88
sea_019.jpg,8,#769DC7,118,157,199,63.42,-2.44,-25.75
sea_019.jpg,9,#789BB3,120,155,179,62.29,-6.49,-16.17
sea_019.jpg,10,#5E8DAB,94,141,171,56.51,-7.58,-20.83
sea_020.jpg,1,#0C6997,12,105,151,41.9,-7.41,-31.88
sea_020.jpg,2,#045D83,4,93,131,36.77,-8.19,-27.83
sea_020.jpg,3,#055C8C,5,92,140,37.04,-4.31,-32.66
sea_020.jpg,4,#054F77,5,79,119,31.52,-4.36,-28.5
sea_020.jpg,5,#3776A2,55,118,162,47.57,-6.2,-29.32
sea_020.jpg,6,#5C89B0,92,137,176,55.41,-4.47,-25.28
sea_020.jpg,7,#809FC2,128,159,194,64.39,-2.29,-21.5
sea_020.jpg,8,#062F4A,6,47,74,18.36,-2.4,-20.59
sea_020.jpg,9,#A3BBD8,163,187,216,75.1,-1.84,-17.12
sea_020.jpg,10,#4B7BB5,75,123,181,50.64,1.44,-35.51
sea_021.jpg,1,#81B2D9,129,178,217,70.61,-6.58,-24.4
sea_021.jpg,2,#8DBBE3,141,187,227,73.94,-5.02,-25.01
sea_021.jpg,3,#74ABD1,116,171,209,67.52,-7.75,-25.11
sea_021.jpg,4,#9BC5EE,155,197,238,77.95,-4.29,-24.64
sea_021.jpg,5,#67A1D1,103,161,209,64.26,-5.89,-30.18
sea_021.jpg,6,#578DC7,87,141,199,57.09,-0.74,-35.58
sea_021.jpg,7,#A3C2E1,163,194,225,77.1,-3.4,-18.7
sea_021.jpg,8,#B1CBE6,177,203,230,80.76,-2.96,-16.27
sea_021.jpg,9,#A0BBCB,160,187,203,74.31,-5.55,-11.16
sea_021.jpg,10,#768E92,118,142,146,57.32,-7.64,-5.23
sea_022.jpg,1,#057096,5,112,150,43.9,-12.23,-27.97
sea_022.jpg,2,#012C43,1,44,67,16.48,-3.91,-18.57
sea_022.jpg,3,#056386,5,99,134,38.91,-10.83,-26.07
sea_022.jpg,4,#013753,1,55,83,21.52,-4.79,-21.12
sea_022.jpg,5,#0F7DA8,15,125,168,49.07,-12.75,-30.42
sea_022.jpg,6,#045574,4,85,116,33.58,-9.4,-23.92
sea_022.jpg,7,#024663,2,70,99,27.47,-7.18,-22.41
sea_022.jpg,8,#4594BE,69,148,190,58.34,-11.41,-28.92
sea_022.jpg,9,#6CA9CF,108,169,207,66.6,-9.45,-25.68
sea_022.jpg,10,#A1C5E4,161,197,228,77.92,-4.81,-19.29
sea_023.jpg,1,#014062,1,64,98,25.32,-3.93,-24.92
sea_023.jpg,2,#014F74,1,79,116,31.51,-6.16,-26.76
sea_023.jpg,3,#025F87,2,95,135,37.7,-7.87,-29.15
sea_023.jpg,4,#012340,1,35,64,13.2,0.61,-21.33
sea_023.jpg,5,#056D99,5,109,153,43.3,-9.64,-30.82
sea_023.jpg,6,#01324D,1,50,77,19.27,-3.45,-21.08
sea_023.jpg,7,#012F51,1,47,81,18.47,0.56,-25.14
sea_023.jpg,8,#1A80AC,26,128,172,50.14,-11.74,-31.26
sea_023.jpg,9,#3A93BF,58,147,191,57.61,-12.34,-30.24
sea_023.jpg,10,#7DBBD7,125,187,215,72.84,-12.82,-20.1
sea_024.jpg,1,#22333E,34,51,62,20.25,-3.58,-9.31
sea_024.jpg,2,#314257,49,66,87,27.36,-0.57,-14.46
sea_024.jpg,3,#3C4B5E,60,75,94,31.21,-0.4,-13.35
sea_024.jpg,4,#1A2E3E,26,46,62,17.84,-2.36,-12.93
sea_024.jpg,5,#1F3750,31,55,80,22.26,-0.72,-17.92
sea_024.jpg,6,#273D4C,39,61,76,24.68,-3.83,-11.96
sea_024.jpg,7,#495668,73,86,104,36.06,-0.43,-12.14
sea_024.jpg,8,#2E3C42,46,60,66,24.18,-3.65,-5.94
sea_024.jpg,9,#2F4769,47,71,105,29.83,1.54,-22.49
sea_024.jpg,10,#52647A,82,100,122,41.61,-1.01,-14.62
sea_025.jpg,1,#02577B,2,87,123,34.46,-7.85,-26.73
sea_025.jpg,2,#035D86,3,93,134,37.23,-7.39,-29.3
