image_name,colour_rank,hex,red,green,blue,hue,saturation,brightness,proportion_percent,lab_l,lab_a,lab_b
sea_025.jpg,1,#0168F5,1,104,245,214.57,99.69,96.11,20.13,47.7058,29.9592,-76.8084
sea_025.jpg,2,#0378E3,3,120,227,208.78,98.9,89.16,13.68,50.5655,13.4128,-62.2338
sea_025.jpg,3,#053F9E,5,63,158,217.2,96.92,61.95,13.33,29.5583,22.8185,-55.8929
sea_025.jpg,4,#045AC0,4,90,192,212.69,97.88,75.46,11.9,39.7948,18.7438,-59.679
sea_025.jpg,5,#042D7A,4,45,122,219.49,96.49,47.82,9.67,21.0955,20.7373,-47.3806
sea_025.jpg,6,#042C67,4,44,103,215.42,96.25,40.22,8.56,19.3003,12.3479,-37.8195
sea_025.jpg,7,#118BF3,17,139,243,207.65,93.02,95.34,8.39,57.102,7.9563,-60.4987
sea_025.jpg,8,#05355F,5,53,95,208.19,95.04,37.26,8.28,21.4497,2.9791,-29.4163
sea_025.jpg,9,#20516B,32,81,107,200.97,70.15,41.92,3.05,32.2655,-7.2042,-19.9481
sea_025.jpg,10,#1A5A92,26,90,146,208.21,81.91,57.14,3.02,36.9858,1.3358,-36.4547
sea_026.jpg,1,#011FEC,1,31,236,232.21,99.72,92.67,47.09,31.964,67.5133,-97.8618
sea_026.jpg,2,#0114DE,1,20,222,234.87,99.68,87.23,23.69,28.8724,67.4099,-95.0895
sea_026.jpg,3,#0109CC,1,9,204,237.64,99.73,79.86,9.74,25.3504,65.0656,-90.0662
